"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5424289","ACT","622 SAMANTHA LN","LAKE MARY","32746","MANDERLEY SUB PH 3","1,592","$235,000","3","2","1","1996","None","Single Family Home","$3,133","73","73","","","","$147.61","","","REALTY EXECUTIVES SEMINOLE","Sherry Zirakdjou","261068235","","","","O","Orlando Regional"
"1","O5431917","ACT","503 SAN LANTA CIR","SANFORD","32771","SAN LANTA 3RD SEC","1,200","$99,900","3","2","1","1970","None","Single Family Home","$838","81","38","","","","$83.25","","","LAKE MONROE REALTY","Nate Trombetti","261070537","","","","O","Orlando Regional"
"1","G4823153","ACT","666 SAN PABLO AVE","CASSELBERRY","32707","SAUSALITO SEC 2","2,163","$350,000","3","2","0","1978","Community","Single Family Home","$3,739","99","99","","","","$161.81","","","ERA GRIZZARD REAL ESTATE","Jeanne Abernathy","805541021","","","","G","Lake and Sumter"
"1","O5437188","ACT","333 SAN RAFAEL ST","WINTER SPRINGS","32708","DEERSONG","1,089","$69,999","3","2","0","1992","None","Single Family Home","$429","14","14","","","","$64.28","","","FREDA REALTY, INC.","Matthew Freda","272501485","","","","O","Orlando Regional"
"1","O5431930","ACT","2700 SAND LAKE RD","LONGWOOD","32779","WEST BRANTLEY LAKE ROAD HEIGHTS","4,069","$499,000","5","4","1","1995","Private","Single Family Home","$4,573","219","40","","","","$122.63","","","WEICHERT REALTORS HALLMARK PR","Lina Lavine","261214763","","","","O","Orlando Regional"
"1","O5436995","ACT","145 SANDALWOOD WAY","LONGWOOD","32750","SANDALWOOD","1,639","$229,900","4","2","1","1978","Private","Single Family Home","$2,351","15","15","","","","$140.27","","","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","","","","O","Orlando Regional"
"1","O5400371","ACT","4075 S SANFORD AVE","SANFORD","32773","SEMINOLE CO","2,661","$379,900","4","2","1","1981","Private","Single Family Home","$3,095","204","204","","","","$142.77","","","RE/MAX CENTRAL REALTY","Janet Mansfield","261050199","","","","O","Orlando Regional"
"1","O5416947","ACT","5998 S SANFORD AVE","SANFORD","32773","ACREAGE & UNREC PLATS","1,752","$374,998","2","2","0","1954","None","Single Family Home","$2,553","107","107","","","","$214.04","","","I-NET REALTY, INC.","Tim Morgan","261060562","","","","O","Orlando Regional"
"1","O5424101","ACT","807 S SANFORD AVE","SANFORD","32771","SANFORD TOWN OF","2,647","$219,900","7","5","1","1990","None","Single Family Home","$2,578","68","68","","","","$83.08","","","KELLER WILLIAMS ADVANTAGE 2","Betty Rebolledo Castro","604500808","","","","O","Orlando Regional"
"1","O5420083","ACT","812 SANFORD AVE","SANFORD","32771","SANFORD TOWN OF","3,580","$449,950","5","5","0","1920","Private","Single Family Home","$1,021","93","93","","","","$125.68","","","RG REALTY","Robert Griffin","261085076","","","","O","Orlando Regional"
"1","O5433330","ACT","1358 SASSAFRAS AVE","ALTAMONTE SPRINGS","32714","COUNTRY CREEK FOREST EDGE UNIT III","2,023","$242,000","4","2","1","1992","Community","Single Family Home","$3,596","32","32","","","","$119.62","","","HOMEVEST REALTY","David Woolford","261073695","","","","O","Orlando Regional"
"1","O5427433","ACT","310 SATSUMA DR","SANFORD","32771","RAVENNA PARK 2ND SEC OF LOCH ARBOR","1,196","$103,800","3","2","0","1961","None","Single Family Home","$1,563","43","43","","","","$86.79","","","OWNERS.COM","Steve Sibiga","261201966","","","","O","Orlando Regional"
"1","O5408905","ACT","662 SAUSALITO BLVD","CASSELBERRY","32707","SAUSALITO SEC 2","2,438","$187,000","3","2","0","1977","None","Single Family Home","$1,624","152","152","","","","$76.70","","","Keller Williams Heritage Realt","Jennifer Jefcoat","261208380","","","","O","Orlando Regional"
"1","O5439808","ACT","676 SAUSALITO BLVD","CASSELBERRY","32707","SAUSALITO SEC 2","1,656","$199,900","3","2","0","1977","None","Single Family Home","$2,362","1","1","","","","$120.71","","","PREMIUM PROPERTIES R.E SERVICE","Tammi Kissinger","206503117","","","","O","Orlando Regional"
"1","O5436772","ACT","3713 SAVANNAH LOOP","OVIEDO","32765","RIVER WALK","3,086","$449,000","5","4","1","1993","Private","Single Family Home","$5,829","66","16","","","","$145.50","","","WATSON REALTY CORP","Jay Kendall","261210303","","","","O","Orlando Regional"
"1","O5415132","ACT","293 SAWYERWOOD PL","OVIEDO","32765","SAWGRASS","2,142","$264,900","4","2","1","2000","None","Single Family Home","$2,215","117","117","","","","$123.67","","","PARK REALTY AND MORTGAGE INC","Dany Jakovljevic","261014470","","","","O","Orlando Regional"
"1","O5428598","ACT","1273 SCANDIA TER","OVIEDO","32765","TUSKA RIDGE UNIT 2","2,544","$315,000","3","3","0","1994","Private","Single Family Home","$2,994","53","53","","","","$123.82","","","BHHS FLORIDA REALTY","Yolon Riveiro","261070434","","","","O","Orlando Regional"
"1","O5430535","ACT","222 SCARBOROUGH CV","LONGWOOD","32779","WEKIVA COVE PH 4","2,060","$255,000","3","2","0","1985","Community","Single Family Home","$1,961","45","45","","","","$123.79","","","WATSON REALTY CORP","Deborah Perry","261209626","","","","O","Orlando Regional"
"1","G4825776","ACT","3144 SCRUB OAK TRL","OVIEDO","32765","WOODLAND ESTATES","2,248","$487,900","3","2","0","1984","Private","Single Family Home","$3,061","39","39","","","","$217.04","","","CB/TONY HUBBARD REALTY, INC","Eliza Kapp","260503633","","","","G","Lake and Sumter"
"1","O5435210","ACT","1105 SEAFARER LN","WINTER SPRINGS","32708","OAK FOREST UNIT 8","2,284","$319,900","4","2","1","1990","None","Single Family Home","$3,844","14","14","","","","$140.06","","","RHODES REALTY, INC.","Scott Rhodes","261070358","","","","O","Orlando Regional"
"1","O5423346","ACT","524 SEASONS CT","WINTER SPRINGS","32708","THE SEASONS","1,241","$175,000","3","2","0","1998","Community","Single Family Home","$612","78","78","","","","$141.02","","","COLDWELL BANKER RESIDENTIAL RE","Rosemarie Patriarca","261051079","","","","O","Orlando Regional"
"1","O5436491","ACT","1229 SEBASTIAN CV","LAKE MARY","32746","HERON RIDGE PH 1","3,164","$479,900","4","3","2","1999","Community","Single Family Home","$6,277","91","16","","","","$151.68","","","KELLER WILLIAMS HERITAGE REALT","Gitta Urbainczyk","261050992","","","","O","Orlando Regional"
"1","O5392275","ACT","156 SEMINOLE AVE","LAKE MARY","32746","CREWS SUB","2,151","$299,900","5","3","0","1971","None","Single Family Home","$1,042","248","248","","","","$139.42","","","SLOANE REALTY, LLC","Matt White","261091198","","","","O","Orlando Regional"
"1","O5430215","ACT","970 SEQUOIA DR","WINTER SPRINGS","32708","OAK FOREST UNIT 2B","1,740","$269,500","3","2","0","1983","Private","Single Family Home","$3,219","45","45","","","","$154.89","","","AMERITEAM REALTY, INC.","Tina Nguyen","261213647","","","","O","Orlando Regional"
"1","O5423929","ACT","122 SEVILLE CHASE DR","WINTER SPRINGS","32708","SEVILLE CHASE","3,691","$484,900","5","3","2","1999","Private","Single Family Home","$5,043","74","74","","","","$131.37","","","COLDWELL BANKER RESIDENTIAL RE","Debra Parrish","261012405","","","","O","Orlando Regional"
"1","O5383151","ACT","142 SEVILLE CHASE DR","WINTER SPRINGS","32708","SEVILLE CHASE","3,811","$499,900","6","3","1","1999","Private","Single Family Home","$5,196","290","290","","","","$131.17","","","ENGEL & VOELKERS ORLANDO","Norka Dolan","261507587","","","","O","Orlando Regional"
"1","O5413164","ACT","146 SEVILLE CHASE DR","WINTER SPRINGS","32708","SEVILLE CHASE","3,696","$488,000","5","4","0","2000","Private","Single Family Home","$5,325","286","128","","","","$132.03","","","RE/MAX VANTAGE LLC","Debbie Frucci","261060182","","","","O","Orlando Regional"
"1","O5407186","ACT","171 SEVILLE CHASE DR","WINTER SPRINGS","32708","SEVILLE CHASE","2,889","$419,500","3","3","0","2000","Private","Single Family Home","$4,496","165","165","","","","$145.21","","","KELLER WILLIAMS ADVANTAGE RLTY","Diane Sterling","261074321","","","","O","Orlando Regional"
"1","U7777680","ACT","231 S SHADOWBAY BLVD","LONGWOOD","32779","SHADOWBAY UNIT 1","2,355","$287,500","4","3","0","1984","None","Single Family Home","$2,438","1","1","","","","$122.08","","","LISTSMART","Robert Gawel","260039920","","","","U","Pinellas Suncoast"
"1","O5433132","ACT","201 SHADY OAKS CIR","LAKE MARY","32746","CARDINAL OAKS COVE","2,456","$400,000","4","2","1","1987","Private","Single Family Home","$2,774","32","32","","","","$162.87","","","Murphy Real Estate","Sam Berlant","261211843","","","","O","Orlando Regional"
"1","O5407440","ACT","246 SHADY OAKS CIR","LAKE MARY","32746","CARDINAL OAKS COVE","2,660","$355,000","5","2","1","1987","Private","Single Family Home","$3,267","245","139","","","","$133.46","","","Murphy Real Estate","Michael Berlant","261091907","","","","O","Orlando Regional"
"1","O5438513","ACT","285 SHADY OAKS CIR","LAKE MARY","32746","CARDINAL OAKS COVE","3,084","$405,000","4","4","1","1987","Private","Single Family Home","$3,623","8","8","","","","$131.32","","","FATHOM REALTY FL LLC","Mike Shields","800505312","","","","O","Orlando Regional"
"1","O5429675","ACT","1810 SHADYHILL TER","WINTER PARK","32792","AUTUMN GLEN PH 2","1,891","$262,000","4","2","0","1987","None","Single Family Home","$2,796","47","47","","","","$138.55","","","CHAMBERLAIN REALTY LLC","Emma Reichert","261069738","","","","O","Orlando Regional"
"1","S4826738","ACT","1867 SHADYHILL TER","WINTER PARK","32792","AUTUMN GLEN PH 2","1,811","$279,900","3","3","0","1987","None","Single Family Home","$1,855","71","71","","","","$154.56","","","VARONIA REAL ESTATE, LLC","Shadia Lutfi","272503655","","","","S","Osceola"
"1","O5438893","ACT","2134 SHADYHILL TER","WINTER PARK","32792","AUTUMN GLEN PH 3","1,659","$265,000","3","2","0","1988","Private","Single Family Home","$1,697","5","5","","","","$159.73","","","BHHS FLORIDA REALTY","Judith Davis","261010320","","","","O","Orlando Regional"
"1","O5432228","ACT","1127 SHAFFER TRL","OVIEDO","32765","ALAFAYA WOODS PH 1 - UNIT A","1,552","$208,000","3","2","0","1985","None","Single Family Home","$2,482","37","37","","","","$134.02","","","KUMBA ENTERPRISES INC","Lidya Gongage","261083377","","","","O","Orlando Regional"
"1","O5432462","ACT","4971 SHORELINE CIR","SANFORD","32771","LAKE FOREST-SECTION TWO B","2,714","$359,900","4","3","0","1995","Private","Single Family Home","$5,505","36","36","","","","$132.61","","","JR KROLL REALTY","JR Kroll","261081957","","","","O","Orlando Regional"
"1","O5376467","ACT","5333 SHORELINE CIR","SANFORD","32771","LAKE FOREST SEC 3A","3,403","$499,900","5","3","1","1996","Community, Private","Single Family Home","$5,687","323","323","","","","$146.90","","","AMERICAN HOME PROPERTIES CORP","Dick Stier","261212496","","","","O","Orlando Regional"
"1","O5439225","ACT","815 SHRIVER CIR","LAKE MARY","32746","CROSSINGS UNIT 2 SILVER LAKES EAST AT THE","2,513","$359,900","4","3","0","1988","Private","Single Family Home","$3,040","5","5","","","","$143.22","","","KELLER WILLIAMS HERITAGE REALT","Cynde Velez","261204258","","","","O","Orlando Regional"
"1","O5437810","ACT","1005 SILCOX BRANCH CIR","OVIEDO","32765","TWIN RIVERS SEC 1","2,345","$285,000","5","2","1","1989","None","Single Family Home","$2,470","11","11","","","","$121.54","","","RE/MAX TOWN & COUNTRY REALTY","Denise McKinley","261082636","","","","O","Orlando Regional"
"1","O5429420","ACT","805 SILVERSMITH CIR","LAKE MARY","32746","CROSSINGS UNIT 2 SILVER LAKES WEST AT THE","2,439","$289,900","4","2","0","1991","None","Single Family Home","$2,481","50","50","","","","$118.86","","","HOMEVEST REALTY","Bryan Blake","261209520","","","","O","Orlando Regional"
"1","O5435772","ACT","737 SILVERWOOD DR","LAKE MARY","32746","CROSSINGS UNIT 2 SILVER LAKES EAST AT THE","2,161","$338,200","4","2","0","1988","Private","Single Family Home","$3,515","21","21","","","","$156.50","","","VENCORP REAL ESTATE","Miguel Guedez","261200549","","","","O","Orlando Regional"
"1","O5434904","ACT","220 SIR LAWRENCE DR","SANFORD","32773","GROVEVIEW VILLAGE","1,865","$169,900","3","2","0","1975","Private","Single Family Home","$1,092","24","24","","","","$91.10","","","ATKINS REALTY GROUP","Larry Atkins","261071941","","","","O","Orlando Regional"
"1","O5418536","ACT","202 SMOKERISE BLVD","LONGWOOD","32779","SWEETWATER OAKS SEC 07","2,598","$345,000","4","3","0","1977","Private","Single Family Home","$3,319","102","102","","","","$132.79","","","WATSON REALTY CORP","Jeananne Barbee","261202740","","","","O","Orlando Regional"
"1","O5436760","ACT","620 SMOKERISE CT","LONGWOOD","32779","SWEETWATER OAKS SEC 13","2,671","$465,000","4","2","1","1982","Private","Single Family Home","$3,988","16","16","","","","$174.09","","","RE/MAX CENTRAL REALTY","Todd Schroth","261068822","","","","O","Orlando Regional"
"1","O5392115","ACT","2703 SNOW GOOSE LN","LAKE MARY","32746","EGRETS LANDING","2,525","$314,900","4","2","1","2000","None","Single Family Home","$3,514","247","247","","","","$124.71","","","ADVANTA REALTY LLC","Mahdi Jaffer","261206468","","","","O","Orlando Regional"
"1","O5401574","ACT","2202 SOUTHWEST RD","SANFORD","32771","LOCKHARTS SUB","1,788","$100,000","4","2","1","1950","None","Single Family Home","$843","196","196","","","","$55.93","","","TRAN REALTY SERVICES","Hien Susie Tran","261001411","","","","O","Orlando Regional"
"1","V4710964","ACT","328 SPARROW WOOD CT","LAKE MARY","32746","LAKE MARY WOODS","2,189","$299,900","4","2","0","1990","None","Single Family Home","$1,930","72","72","","","","$137.00","","","GLORY INTL. REAL ESTATE CO","Louis Castriota","286000103","","","","V","West Volusia"
"1","O5439404","ACT","502 SPOONBILL CT","WINTER SPRINGS","32708","GREENSPOINTE","1,500","$199,000","2","2","0","1985","Community","Single Family Home","$2,519","4","4","","","","$132.67","","","ALTON CLARK REALTY","Cristina Sullivan","261214603","","","","O","Orlando Regional"
"1","R4704215","ACT","115 SPRING COVE TRL","ALTAMONTE SPRINGS","32714","SPRING LAKE HILLS","2,891","$379,900","4","2","1","1978","Private","Single Family Home","$2,742","60","60","","","","$131.41","","","EL SHADDAI REALTY","Alex Barhatkov","272501836","","","","R","Other"
"1","O5433730","ACT","190 N SPRING LAKE DR","ALTAMONTE SPRINGS","32714","SPRING LAKE HILLS SEC 5","2,319","$319,999","4","2","0","1974","Private","Single Family Home","$2,794","30","30","","","","$137.99","","","ASSET REALTY LLC","Beata Latasiewicz","261208968","","","","O","Orlando Regional"
"1","O5439901","ACT","115 SPRING LAKE HILLS DR","ALTAMONTE SPRINGS","32714","SPRING LAKE HILLS","2,775","$389,000","4","2","1","1970","Private","Single Family Home","$2,817","2","2","","","","$140.18","","","COLDWELL BANKER RESIDENTIAL RE","Beatrix Masotti","261090415","","","","O","Orlando Regional"
"1","O5436496","ACT","180 SPRING LAKE HILLS DR","ALTAMONTE SPRINGS","32714","SPRING LAKE HILLS","2,494","$410,000","4","2","1","1970","Private","Single Family Home","$3,445","17","17","","","","$164.39","","","RE/MAX 200 REALTY","David Gallup","261009279","","","","O","Orlando Regional"
"1","O5400098","ACT","116 SPRING VALLEY LOOP","ALTAMONTE SPRINGS","32714","SPRING VALLEY FARMS SEC 08","2,548","$300,000","3","2","1","1969","Private","Single Family Home","$3,869","205","205","","","","$117.74","","","SUCCESS INVESTMENT REALTY","Bryce Rysewyk","261088778","","","","O","Orlando Regional"
"1","O5439396","ACT","400 SPRING VALLEY LN","ALTAMONTE SPRINGS","32714","SPRING VALLEY ESTATES","2,380","$409,900","4","2","0","1980","Private","Single Family Home","$3,330","4","4","","","","$172.23","","","EVEREST REALTY LLC","Alisa Shuster","256501539","","","","O","Orlando Regional"
"1","U7753630","ACT","0 SPRING VALLEY STABLE","ALTAMONTE SPRINGS","32714","N/A","975","$150,000","2","1","0","1945","None","Single Family Home","$1,159","142","142","","","","$153.85","","","JACK KELLER INC","Jack Keller","260000161","","","","U","Pinellas Suncoast"
"1","O5440020","ACT","127 SPRINGHURST CIR","LAKE MARY","32746","SPRINGHURST PARK","2,209","$304,900","4","2","0","1990","Private","Single Family Home","$2,666","2","2","","","","$138.03","","","KELLER WILLIAMS HERITAGE REALT","Christine Gerardi","261212861","","","","O","Orlando Regional"
"1","O5414674","ACT","555 W SPRINGTREE WAY","LAKE MARY","32746","LAKEWOOD AT THE CROSSINGS UNIT TWO","2,038","$225,000","3","3","0","1986","None","Single Family Home","$2,022","120","120","","","","$110.40","","","EXIT REALTY ACCESS, INC.","Maria Nunez","261210777","","","","O","Orlando Regional"
"1","O5404645","ACT","336 SPRUCEWOOD RD","LAKE MARY","32746","LAKE MARY WOODS","2,237","$329,000","4","2","1","1988","Private","Single Family Home","$4,013","216","181","","","","$147.07","","","URBAN REALTY GROUP","Corina Gray","261062164","","","","O","Orlando Regional"
"1","U7774623","ACT","337 SPRUCEWOOD RD","LAKE MARY","32746","LAKE MARY WOODS","2,443","$344,500","5","3","0","1992","Private","Single Family Home","$2,785","26","26","","","","$141.02","","","KELLER WILLIAMS RLTY SEMINOLE","Meryem Stanek","261210752","","","","U","Pinellas Suncoast"
"1","T2817968","ACT","1811 STANLEY ST","LONGWOOD","32750","SANLANDO SPGS / ROLLING HILLS","2,309","$325,000","4","2","0","1968","Private","Single Family Home","$2,821","168","4","","","","$140.75","","","COMMUNITY REALTY ASSOCIATES","Douglas Addeo","261073176","","","","T","Tampa"
"1","O5406966","ACT","504 STEPHANIE CT","LAKE MARY","32746","CARDINAL OAKS PH 2 AMD","2,435","$314,900","4","3","0","1984","None","Single Family Home","$2,588","331","165","","","","$129.32","","","COLDWELL BANKER RESIDENTIAL RE","Missy King","261012770","","","","O","Orlando Regional"
"1","O5437117","ACT","221 STEVENAGE DR","LONGWOOD","32779","WEKIVA HILLS SEC 09","2,105","$325,000","4","2","0","1979","Private","Single Family Home","$2,365","15","15","","","","$154.39","","","RE/MAX CENTRAL REALTY","Todd Schroth","261068822","","","","O","Orlando Regional"
"1","O5437787","ACT","909 STONE CREEK CT","LONGWOOD","32779","SWEETWATER OAKS SEC 19","2,185","$332,000","4","2","0","1986","Private","Single Family Home","$2,387","11","11","","","","$151.95","","","HOMEVEST REALTY","Bryan Blake","261209520","","","","O","Orlando Regional"
"1","O5430111","ACT","1246 STONEHAVEN CT","HEATHROW","32746","HEATHROW","1,582","$295,000","3","2","0","1997","None","Single Family Home","$3,396","46","46","","","","$186.47","","","PARKER REALTY GROUP","Deidre Parker","261073276","","","","O","Orlando Regional"
"1","O5407183","ACT","967 STONEWOOD LN","MAITLAND","32751","STONEWOOD FIRST ADD","2,832","$345,900","4","3","0","1980","None","Single Family Home","$5,346","153","153","","","","$122.14","","","BEAULIEU REALTY","Debra Lombardi","261017164","","","","O","Orlando Regional"
"1","O5440360","ACT","2905 STRAND CIR","OVIEDO","32765","LITTLE CREEK PH 3A","2,006","$329,900","4","2","1","2000","Private","Single Family Home","$2,812","1","1","","","","$164.46","","","KELLER WILLIAMS ADVANTAGE 2","Matthew Hodge","261206818","","","","O","Orlando Regional"
"1","O5437829","ACT","484 SUGAR RIDGE CT","LONGWOOD","32779","SUGAR RIDGE AT SABAL POINT","2,946","$410,000","3","3","1","1981","Private","Single Family Home","$4,449","11","11","","","","$139.17","","","CHARLES RUTENBERG REALTY","Faith Warren","261016969","","","","O","Orlando Regional"
"1","O5414905","ACT","1521 SUGARWOOD CIR","WINTER PARK","32792","AMBERWOOD UNIT 2","2,791","$289,000","4","4","0","1984","Private","Single Family Home","$2,547","119","119","","","","$103.55","","","CHARLES RUTENBERG REALTY","Cathy Gilhuly","261010715","","","","O","Orlando Regional"
"1","O5430950","ACT","1819 S SUMMERLIN AVE","SANFORD","32771","BEL-AIR SANFORD","1,000","$49,000","3","2","0","1954","None","Single Family Home","$792","39","39","","","","$49.00","","","MULTHAI INTERNATIONAL REALTY L","Patricia Tanner","261208806","","","","O","Orlando Regional"
"1","O5435075","ACT","684 SUMTER CT","WINTER SPRINGS","32708","HOLLOWBROOK PH 2","2,092","$255,000","4","3","0","1989","None","Single Family Home","$2,960","24","24","","","","$121.89","","","COLDWELL BANKER RESIDENTIAL RE","Janice James","261205196","","","","O","Orlando Regional"
"1","O5404577","ACT","6505 S SYLVAN LAKE DR","SANFORD","32771","SOUTH SYLVAN LAKE SHORES","2,258","$359,900","3","3","0","1989","None","Single Family Home","$1,939","380","180","","","","$159.39","","","Keller Williams Heritage Realt","Warren Bonett","261094134","","","","O","Orlando Regional"
"1","O5431635","ACT","1271 TADSWORTH TER","LAKE MARY","32746","WEMBLEY PARK","2,824","$449,900","5","3","0","1994","Private","Single Family Home","$4,196","43","43","","","","$159.31","","","BHHSTHE PROPERTY PLACE","Alice Ying","261050278","","","","O","Orlando Regional"
"1","G4823570","ACT","508 TALL OAKS TER","LONGWOOD","32750","CRYSTAL CREEK UNIT 1","2,067","$245,000","3","2","1","1990","None","Single Family Home","$2,867","89","89","","","","$118.53","","","CAM REALTY & PROPERTY MANAGEME","Beth Atalay","260565397","","","","G","Lake and Sumter"
"1","O5426837","ACT","572 TALL OAKS TER","LONGWOOD","32750","CRYSTAL CREEK UNIT 1","2,295","$269,999","4","2","1","1995","None","Single Family Home","$1,835","61","61","","","","$117.65","","","RE/MAX SELECT","Amber Finch","261201428","","","","O","Orlando Regional"
"1","O5396262","ACT","7020 TALLOW TREE RD","SANFORD","32771","SYLVA GLADE","2,468","$319,900","3","2","0","1995","None","Single Family Home","$3,010","224","224","","","","$129.62","","","JERNIGAN PROPERTIES, INC.","Ron Jernigan","261012603","","","","O","Orlando Regional"
"1","O5440127","ACT","1724 TEALBRIAR AVE","OVIEDO","32765","LITTLE CREEK PH 3B","2,006","$269,900","4","2","0","1999","None","Single Family Home","$3,865","2","2","","","","$134.55","","","(THE) VIKING TEAM REALTY","Petur Sigurdsson","261068193","","","","O","Orlando Regional"
"1","O5404006","ACT","713 THISTLE PL","WINTER SPRINGS","32708","WILDWOOD","1,769","$174,900","4","2","0","1974","Private","Single Family Home","$1,496","185","185","","","","$98.87","","","Murphy Real Estate","Tania Crandall","261209611","","","","O","Orlando Regional"
"1","O5430920","ACT","211 THISTLEWOOD CIR","LONGWOOD","32779","SWEETWATER OAKS SEC 12","2,462","$372,500","4","2","1","1979","Private","Single Family Home","$3,077","43","43","","","","$151.30","","","FLORIDA HOME TEAM REALTY","Cheri Blackmon","260562418","","","","O","Orlando Regional"
